mobile-broadband-provider-info 20230416-1
modemmanager 1.20.6-2
mpfr 4.2.0.p12-3
mpg123 1.31.3-1
mpv 1:0.36.0-1
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mtools 1:4.0.43-1
mujs 1.3.3-1
nano 7.2-1
nbd 3.25-1
ncurses 6.4_20230520-1
ndisc6 1.0.7-1
neovim 0.9.1-3
nettle 3.9.1-1
network-manager-applet 1.32.0-3
networkmanager 1.42.6-1
nfs-utils 2.6.3-1
nfsidmap 2.6.3-1
nftables 1:1.0.8-2
nilfs-utils 2.2.9-2
nm-connection-editor 1.32.0-3
nmap 7.94-1
noto-fonts-cjk 20220126-2
noto-fonts-emoji 20220920-1
npth 1.6-4
nspr 4.35-1
nss 3.92-1
ntfs-3g 2022.10.3-1
numactl 2.0.16-1
nvidia-dkms 535.98-1
nvidia-settings 535.98-1
nvidia-utils 535.98-1
nvme-cli 2.5-1
oath-toolkit 2.6.9-1
ocl-icd 2.3.2-1
oniguruma 6.9.8-1
open-iscsi 2.1.9-2
open-isns 0.102-2
open-vm-tools 6:12.2.5-1
openal 1.23.1-1
openconnect 1:9.12-1
opencore-amr 0.1.6-1
openexr 3.1.10-1
openjpeg2 2.5.0-2
openmpi 4.1.5-3
openpmix 4.2.5-1
openssh 9.4p1-2
openssl 3.1.2-1
openvpn 2.6.6-1
opus 1.4-1
orc 0.4.34-1
os-prober-git 1.81.r4.g7875f73-1
ostree 2023.5-1
otf-font-awesome 6.4.0-1
otf-raleway 4.101-1
p11-kit 0.25.0-1
pacman 6.0.2-7
pacman-contrib 1.9.1-1
pacman-mirrorlist 20230628-1
pam 1.5.3-3
pamac-all 11.6.0-3
pamac-cli 11.6.0-1
pamac-tray-icon-plasma 0.1.3-1
pambase 20221020-1
pandoc-cli 0.1.1-30
pango 1:1.50.14-1
pangomm 2.46.3-1
partclone 0.3.25-1
parted 3.6-1
partimage 0.6.9-14
paru-bin 1.11.2-1
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pbzip2 1.1.13-3
pcaudiolib 1.2-2
pciutils 3.10.0-1
pcmanfm-gtk3 1.3.2-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.0-1
perl 5.38.0-1
perl-clone 0.46-2
perl-encode-locale 1.05-11
perl-error 0.17029-5
perl-file-listing 6.16-2
perl-html-parser 3.81-2
perl-html-tagset 3.20-14
perl-http-cookies 6.10-4
perl-http-daemon 6.16-2
perl-http-date 6.06-1
perl-http-message 6.44-2
perl-http-negotiate 6.01-12
perl-io-html 1.004-4
perl-libwww 6.67-2
perl-lwp-mediatypes 6.04-4
perl-mailtools 2.21-7
perl-net-http 6.23-2
perl-timedate 2.33-5
perl-try-tiny 0.31-3
perl-uri 5.19-2
perl-www-robotrules 6.02-12
perl-xml-parser 2.46-5
perl-xml-writer 0.900-2
picom 10.2-1
pigz 2.7-3
pinentry 1.2.1-1
pipewire 1:0.3.77-2
pixman 0.42.2-1
pixz 1.0.7-4
pkcs11-helper 1.29.0-2
pkgconf 1.8.1-1
plasma-framework 5.109.0-1
polkit 123-1
polkit-gnome 0.105-10
polkit-qt5 0.114.0-1
poppler 23.08.0-1
poppler-data 0.4.12-1
poppler-glib 23.08.0-1
popt 1.19-1
portaudio 1:19.7.0-2
ppp 2.4.9-3
pptpclient 1.10.0-3
procps-ng 4.0.3-1
psmisc 23.6-1
pulseaudio 16.1-6
pv 1.7.0-1
python 3.11.3-2
python-attrs 22.2.0-3
python-cairo 1.24.0-1
python-cairocffi 1.5.0-1
python-cffi 1.15.1-3
python-chardet 5.2.0-1
python-configobj 5.0.8-4
python-cryptography 41.0.3-1
python-dbus-next 0.2.3-4
python-gobject 3.44.1-4
python-idna 3.4-3
python-jinja 1:3.1.2-4
python-jsonpatch 1.33-1
python-jsonpointer 2.4-1
python-jsonschema 4.19.0-1
python-jsonschema-specifications 2023.7.1-1
